,k,rpca_time,tn,fp,fn,tp
0,100,103.13461565971375,8639852,148,0,0
1,100,103.08726239204407,8639767,233,0,0
2,100,102.63536334037781,8639861,139,0,0
3,100,102.65746712684631,8477718,62313,38412,61557
4,100,102.74653363227844,8431581,72263,37906,98250
5,100,102.50020813941956,8481863,53175,12189,92773
6,100,103.65639305114746,8438797,83557,5390,112256
7,100,102.47242784500122,8636407,1586,0,2007
8,100,102.39552474021912,8547244,28563,6341,57852
9,100,101.97578144073486,8450398,90379,7460,91763
10,99,100.73382568359375,8482753,24141,718,45988
